ABRAHAM OF LONDON — INTEL AUDIT MANIFEST
Generated: 2026-02-03T14:50:05.932Z
Policy: Missing accessLevel defaults to directory standard.
--------------------------------------------------

[SHORT] institutional-sovereignty                     | PUBLIC          |   120 words
[SHORT] when-a-single-yes-changes-everything          | PUBLIC          |   114 words
[SHORT] when-all-you-can-do-is-breathe                | PUBLIC          |    92 words
[SHORT] when-avoidance-becomes-your-personality       | PUBLIC          |   151 words
[SHORT] when-busyness-becomes-your-brand              | PUBLIC          |   121 words
[SHORT] when-comfort-becomes-your-cage                | PUBLIC          |   149 words
[SHORT] when-conflict-feels-like-betrayal             | PUBLIC          |   136 words
[SHORT] when-doctrine-feels-safer-than-god            | PUBLIC          |   148 words
[SHORT] when-every-promotion-feels-hollow             | PUBLIC          |    93 words
[SHORT] when-grace-finds-you-in-the-mess              | PUBLIC          |   104 words
[SHORT] when-hope-feels-reckless                      | PUBLIC          |   135 words
[SHORT] when-kindness-feels-like-rebellion            | PUBLIC          |   106 words
[SHORT] when-later-became-never                       | PUBLIC          |   142 words
[SHORT] when-numbness-feels-safer-than-joy            | PUBLIC          |   133 words
[SHORT] when-productivity-becomes-punishment          | PUBLIC          |   146 words
[SHORT] when-rest-starts-to-feel-dangerous            | PUBLIC          |   107 words
[SHORT] when-you-argue-with-god-in-your-head          | PUBLIC          |   140 words
[SHORT] when-you-cant-stop-overthinking               | PUBLIC          |    99 words
[SHORT] when-you-cant-tell-if-youre-growing-or-drifting | PUBLIC          |   132 words
[SHORT] when-you-dont-know-what-you-want-anymore      | PUBLIC          |   124 words
[SHORT] when-you-dont-trust-your-own-decisions        | PUBLIC          |   113 words
[SHORT] when-you-fear-being-wrong-about-god           | PUBLIC          |   123 words
[SHORT] when-you-fear-success-more-than-failure       | PUBLIC          |   137 words
[SHORT] when-you-feel-like-god-is-delaying-you        | PUBLIC          |   124 words
[SHORT] when-you-feel-too-busy-to-care                | PUBLIC          |   155 words
[SHORT] when-you-finally-let-yourself-cry             | PUBLIC          |   110 words
[SHORT] when-you-give-more-than-you-get               | PUBLIC          |   182 words
[SHORT] when-you-keep-blaming-your-childhood          | PUBLIC          |   128 words
[SHORT] when-you-keep-choosing-people-who-cant-choose-you | PUBLIC          |   135 words
[SHORT] when-you-keep-confusing-niceness-with-goodness | PUBLIC          |    95 words
[SHORT] when-you-miss-who-you-used-to-be              | PUBLIC          |   168 words
[SHORT] when-you-mistake-familiarity-for-loyalty      | PUBLIC          |   137 words
[SHORT] when-you-need-god-to-interrupt-you            | PUBLIC          |   144 words
[SHORT] when-you-no-longer-recognise-your-own-voice   | PUBLIC          |   132 words
[SHORT] when-you-outgrow-your-circle                  | PUBLIC          |   128 words
[SHORT] when-you-realise-prayer-is-war                | PUBLIC          |   143 words
[SHORT] when-you-realise-you-were-the-problem         | PUBLIC          |   158 words
[SHORT] when-you-realise-youre-not-behind             | PUBLIC          |    91 words
[SHORT] when-you-stop-waiting-for-permission          | PUBLIC          |   126 words
[SHORT] when-you-want-to-quit-but-cant                | PUBLIC          |   139 words
[SHORT] when-your-calendar-is-full-but-your-life-is-empty | PUBLIC          |   152 words
[SHORT] when-your-calling-stops-being-cute            | PUBLIC          |   112 words
[SHORT] when-your-character-is-leaking                | PUBLIC          |   132 words
[SHORT] when-your-confidence-feels-manufactured       | PUBLIC          |   166 words
[SHORT] when-your-convictions-feel-like-costumes      | PUBLIC          |   149 words
[SHORT] when-your-dreams-feel-too-heavy               | PUBLIC          |   186 words
[SHORT] when-your-excuses-become-your-identity        | PUBLIC          |   166 words
[SHORT] when-your-faith-feels-numb                    | PUBLIC          |   175 words
[SHORT] when-your-hustle-has-no-soul                  | PUBLIC          |   135 words
[SHORT] when-your-legacy-terrifies-you                | PUBLIC          |   140 words
[SHORT] when-your-silence-says-too-much               | PUBLIC          |   144 words
[SHORT] when-your-standards-keep-you-lonely           | PUBLIC          |   156 words
[SHORT] when-your-vision-outgrows-your-environment    | PUBLIC          |   125 words
[SHORT] when-your-work-becomes-your-hiding-place      | PUBLIC          |   132 words
[SHORT] when-youre-addicted-to-distraction            | PUBLIC          |   117 words
[SHORT] when-youre-afraid-of-your-own-potential       | PUBLIC          |   183 words
[SHORT] when-youre-afraid-to-be-radical               | PUBLIC          |   112 words
[SHORT] when-youre-always-the-strong-one              | PUBLIC          |   136 words
[SHORT] when-youre-attracted-to-potential-not-reality | PUBLIC          |   126 words
[SHORT] when-youre-building-someone-elses-legacy      | PUBLIC          |   127 words
[SHORT] when-youre-done-fixing-adults                 | PUBLIC          |   117 words
[SHORT] when-youre-exhausted-but-still-available      | PUBLIC          |   171 words
[SHORT] when-youre-keeping-faith-out-of-habit         | PUBLIC          |   133 words
[SHORT] when-youre-living-for-weekends                | PUBLIC          |    84 words
[SHORT] when-youre-loved-without-earning-it           | PUBLIC          |   104 words
[SHORT] when-youre-measuring-everything-but-meaning   | PUBLIC          |   134 words
[SHORT] when-youre-not-lazy-youre-undisciplined       | PUBLIC          |   115 words
[SHORT] when-youre-preparing-for-rooms-you-havent-entered | PUBLIC          |   126 words
[SHORT] when-youre-productive-but-not-present         | PUBLIC          |   130 words
[SHORT] when-youre-scared-to-start-over               | PUBLIC          |   107 words
[SHORT] when-youre-the-only-one-doing-the-work        | PUBLIC          |   109 words
[SHORT] when-youre-tired-of-being-the-bigger-person   | PUBLIC          |   177 words
[SHORT] when-youre-tired-of-starting-over             | PUBLIC          |   125 words
