file,line,variable,value
styles/globals.css,14,--aol-bg,"6 6 9"
styles/globals.css,15,--aol-bg-2,"9 9 12"
styles/globals.css,16,--aol-bg-3,"14 14 18"
styles/globals.css,19,--aol-panel,"0 0 0"
styles/globals.css,20,--aol-panel-2,"10 10 14"
styles/globals.css,21,--aol-panel-3,"16 16 20"
styles/globals.css,24,--aol-ink,"242 241 238"
styles/globals.css,25,--aol-ink-dim,"242 241 238"
styles/globals.css,26,--aol-ink-muted,"242 241 238"
styles/globals.css,29,--aol-gold,"201 169 110"
styles/globals.css,30,--aol-gold-strong,"245 158 11"
styles/globals.css,31,--aol-gold-soft,"184 155 110"
styles/globals.css,34,--aol-danger,"239 68 68"
styles/globals.css,35,--aol-success,"34 197 94"
styles/globals.css,36,--aol-warning,"234 179 8"
styles/globals.css,39,--aol-dark,"#0b0b0b"
styles/globals.css,40,--aol-darker,"#060606"
styles/globals.css,41,--aol-border,"rgba(255, 255, 255, 0.12)"
styles/globals.css,42,--aol-surface,"rgba(255, 255, 255, 0.04)"
styles/globals.css,43,--aol-surface-2,"rgba(255, 255, 255, 0.06)"
styles/globals.css,44,--aol-watermark,""""""
styles/globals.css,47,--text-primary,"rgba(255, 255, 255, 0.92)"
styles/globals.css,48,--text-secondary,"rgba(255, 255, 255, 0.72)"
styles/globals.css,49,--text-muted,"rgba(255, 255, 255, 0.58)"
styles/globals.css,50,--readable-measure,"65ch"
styles/globals.css,54,--font-serif,"""Cormorant Garamond"""
styles/globals.css,55,--font-mono,"""JetBrains Mono"""
styles/globals.css,56,--font-sans,"""Inter"""
styles/globals.css,59,--font-family-serif,"""Cormorant Garamond"", Georgia, serif"
styles/globals.css,60,--font-family-mono,"""JetBrains Mono"", ui-monospace, monospace"
styles/globals.css,61,--font-family-sans,"Inter, ui-sans-serif, system-ui, sans-serif"
app/globals.css,19,--font-sans,"var(--font-inter), Inter, system-ui, sans-serif"
app/globals.css,20,--font-mono,"var(--font-mono), ""JetBrains Mono"", ui-monospace, monospace"
app/globals.css,21,--font-serif,"var(--font-cormorant), ""Cormorant Garamond"", Georgia, serif"
app/globals.css,24,--aol-bg,"4 4 5"
app/globals.css,25,--aol-bg-2,"8 8 10"
app/globals.css,26,--aol-bg-3,"13 13 15"
app/globals.css,27,--aol-panel,"18 18 20"
app/globals.css,28,--aol-panel-2,"22 22 25"
app/globals.css,29,--aol-panel-3,"28 28 32"
app/globals.css,31,--aol-ink,"250 249 245"
app/globals.css,32,--aol-ink-dim,"225 224 220"
app/globals.css,33,--aol-ink-muted,"160 160 165"
app/globals.css,35,--aol-gold,"201 169 106"
app/globals.css,36,--aol-gold-strong,"222 190 126"
